Year1,Year2,VarCo,Estimate,CV,Area,abs/rel,Use,Add CV,Hypothesis,Index,Exclude,Component,Reference,Reviewed by ASI?
2004,2006,-1,1382,0.23,RUS+WAL,Abs,Yes,No,B1F1,8,No,1,Wade et al. SC/68d/IA03,Yes
2004,2006,-1,1399,0.23,RUS+WAL,Abs,Yes,No,B1F2,8,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1392,0.23,RUS+WAL,Abs,Yes,No,B2F1,8,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1408,0.23,RUS+WAL,Abs,Yes,No,B2F2,8,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,7947,0.21,EAL+BER,Abs,Yes,No,B1F1,9,No,1,Wade et al. SC/68d/IA03,Yes
2004,2006,-1,5983,0.15,EAL+BER+WGOA,Abs,Yes,No,B1F2,9,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,6529,0.22,EAL+BER,Abs,Yes,No,B2F1,9,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,5241,0.13,EAL+BER+WGOA,Abs,Yes,No,B2F2,9,No,1,Wade et al. SC/68d/IA03,No
1987,1987,-1,830,0.31,GOA,Abs,Yes,No,F1 only,10,No,0,zerbini et al 2006,Yes
2001,2001,-1,2191,0.34,GOA,Abs,Yes,No,F1 only,10,No,0,zerbini et al 2006,Yes
2002,2002,-1,2137,0.24,GOA,Abs,Yes,No,F1 only,10,No,0,zerbini et al 2006,Yes
2003,2003,-1,2425,0.14,GOA,Abs,Yes,No,F1 only,10,No,0,zerbini et al 2006,Yes
2004,2006,-1,2140,0.08,GOA,Abs,Yes,No,B1F1,10,No,0,Wade et al. SC/68d/IA03,No
2004,2006,-1,2055,0.08,GOA,Abs,Yes,No,B2F1,10,No,0,Wade et al. SC/68d/IA03,No
1987,1987,-1,616,0.367955058,NGOA,Abs,Yes,No,F2 only,11,No,0,zerbini et al 2006 paul,Yes
2001,2001,-1,1701,0.41211433,NGOA,Abs,Yes,No,F2 only,11,No,0,zerbini et al 2006 paul,Yes
2002,2002,-1,1544,0.265186145,NGOA,Abs,Yes,No,F2 only,11,No,0,zerbini et al 2006 paul,Yes
2003,2003,-1,1931,0.119564544,NGOA,Abs,Yes,No,F2 only,11,No,0,zerbini et al 2006 paul,Yes
2004,2006,-1,1747,0.1,NGOA,Abs,Yes,No,B1F2,11,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,1650,0.1,NGOA,Abs,Yes,No,B2F2,11,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,5925,0.07,SEA+NBC,Abs,Yes,No,B1F1,12,No,1,Wade et al. SC/68d/IA03,Yes
2004,2006,-1,5828,0.07,SEA+NBC,Abs,Yes,No,B1F2,12,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,6187,0.07,SEA+NBC,Abs,Yes,No,B2F1,12,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,6038,0.07,SEA+NBC,Abs,Yes,No,B2F2,12,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,364,0.25,SBC+WA,Abs,No,No,B1F1,13,No,1,Wade et al. SC/68d/IA03,Yes
2004,2006,-1,366,0.27,SBC+WA,Abs,No,No,B1F2,13,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,328,0.25,SBC+WA,Abs,No,No,B2F1,13,No,1,Wade et al. SC/68d/IA03,No
2004,2006,-1,355,0.31,SBC+WA,Abs,No,No,B2F2,13,No,1,Wade et al. SC/68d/IA03,No
1997,1997,-1,131,0.184045802,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
1998,1998,-1,181,0.165966851,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
1999,1999,-1,243,0.1718107,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2000,2000,-1,255,0.168627451,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2001,2001,-1,305,0.166590164,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2002,2002,-1,362,0.179668508,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2003,2003,-1,439,0.2238041,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2004,2004,-1,608,0.187878289,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2005,2005,-1,810,0.138469136,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2006,2006,-1,671,0.112503726,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2007,2007,-1,1040,0.101269231,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2008,2008,-1,1239,0.101977401,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2009,2009,-1,1245,0.103518072,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2010,2010,-1,1186,0.097681282,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2011,2011,-1,1279,0.114652072,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2012,2012,-1,1560,0.111717949,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2013,2013,-1,1887,0.124843667,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2014,2014,-1,1556,0.125475578,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2015,2015,-1,1586,0.123032787,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2016,2016,-1,1416,0.110225989,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2017,2017,-1,1369,0.080277575,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2018,2018,-1,1671,0.059269898,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2019,2019,-1,1797,0.04588759,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2020,2020,-1,1924,0.043778586,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2021,2021,-1,2162,0.043348751,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2022,2022,-1,2328,0.041189863,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
2023,2023,-1,2323,0.041876883,SBC+WA,Abs,Yes,1,All,14,No,1,Calambokidis and Barlow 2024,Yes
1989,1989,-1,506,0.080237154,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1990,1990,-1,517,0.070793037,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1991,1991,-1,636,0.066666667,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1992,1992,-1,766,0.059399478,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1993,1993,-1,800,0.04925,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1994,1994,-1,830,0.045421687,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1995,1995,-1,834,0.043764988,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1996,1996,-1,922,0.051843818,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1997,1997,-1,974,0.054312115,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1998,1998,-1,1068,0.050280899,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1999,1999,-1,1263,0.05391924,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2000,2000,-1,1166,0.056089194,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2001,2001,-1,1220,0.057786885,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2002,2002,-1,1277,0.064604542,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2003,2003,-1,1566,0.067879949,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2004,2004,-1,1617,0.063450835,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2005,2005,-1,1897,0.063837638,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2006,2006,-1,2005,0.066733167,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2007,2007,-1,1847,0.074011911,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2008,2008,-1,2161,0.073253124,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2009,2009,-1,2154,0.069545032,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2010,2010,-1,2335,0.06235546,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2011,2011,-1,2491,0.057647531,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2012,2012,-1,2313,0.052399481,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2013,2013,-1,2358,0.049575912,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2014,2014,-1,2243,0.045786893,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2015,2015,-1,2687,0.044957201,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2016,2016,-1,4213,0.044410159,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2017,2017,-1,4649,0.038459884,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2018,2018,-1,5367,0.032737097,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2019,2019,-1,5456,0.030150293,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2020,2020,-1,5204,0.030572636,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2021,2021,-1,5568,0.031788793,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2022,2022,-1,5420,0.031383764,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
2023,2023,-1,5650,0.02840708,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2024,Yes
1991,1994,-1,639,0.01,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2017 A17/NP10,Yes
2003,2006,-1,1554,0.04,OR+CA,Abs,Yes,2,All,15,No,1,Calambokidis and Barlow 2017 A17/NP10,Yes
1996,1996,-1,1181,0.319,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2001,2001,-1,1364,0.294,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2005,2005,-1,1575,0.305,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2008,2008,-1,1727,0.333,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2014,2014,-1,2178,0.392,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2018,2018,-1,4784,0.307,OR+CA,Abs,No,No,All,16,No,0,Becker et al. 2020,Yes
2002,2002,2,10631,0.249271,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2003,2003,2,10309,0.096614609,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2004,2004,2,9853,0.054196691,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2005,2005,2,10625,0.0656,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2006,2006,2,11927,0.059193427,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2007,2007,2,14314,0.078734106,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
2008,2008,2,14312,0.103339855,Hawaii,Rel,Yes,No,All,17,No,1,Cheeseman et al 2024,Yes
