Year1,Year2,VarCo,Estimate,CV,Area,abs/rel,Use,Add CV,Hypothesis,Index,Exclude,Component,Reference,Reviewed by ASI?
2015,2015,-1,190.1923647,0.02974455,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2016,2016,-1,188.4779579,0.030942688,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2017,2017,-1,152.6610135,0.041798549,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2018,2018,-1,128.6943626,0.232341368,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2019,2019,-1,163.9377016,0.041108596,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2020,2020,-1,169.1446786,0.016337923,SEA+NBC,Rel,Yes,Maybe,All,21,No,0,Gabriel et al. 2022,No
2011,2012,-1,6247,0.4,GOA,Abs,No,No,F1 only,22,No,0,Matsuoka et al. 2023,Not reviewed
2011,2012,-1,4506,0.62,NGOA,Abs,No,No,F2 only,22,No,0,Matsuoka et al. 2023,Not reviewed
2017,2018,-1,10949,0.38,EAL+BER,Abs,No,No,F1 only,22,No,0,Matsuoka et al. 2023,Not reviewed
2017,2018,-1,12424,0.34,EAL+BER+WGOA,Abs,No,No,F2 only,22,No,0,Matsuoka et al. 2023,Not reviewed
2002,2002,-1,231,0.63,EAL+BER,Rel,Yes,No,F1 only,23,No,0,Friday et al. 2012,No
2008,2008,-1,436,0.45,EAL+BER,Rel,Yes,No,F1 only,23,No,0,Friday et al. 2012,No
2010,2010,-1,675,0.8,EAL+BER,Rel,Yes,No,F1 only,23,No,0,Friday et al. 2012,No
2002,2002,-1,231,0.63,EAL+BER+WGOA,Rel,Yes,No,F2 only,23,No,0,Friday et al. 2012,No
2008,2008,-1,436,0.45,EAL+BER+WGOA,Rel,Yes,No,F2 only,23,No,0,Friday et al. 2012,No
2010,2010,-1,675,0.8,EAL+BER+WGOA,Rel,Yes,No,F2 only,23,No,0,Friday et al. 2012,No
2007,2007,-1,135,0.081,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2008,2008,-1,200,0.065,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2011,2011,-1,170,0.088,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2012,2012,-1,230,0.074,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2013,2013,-1,178,0.084,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2014,2014,-1,264,0.083,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2015,2015,-1,160,0.256,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2017,2017,-1,104,0.202,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2018,2018,-1,103,0.282,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2019,2019,-1,108,0.259,GOA,Rel,Yes,3,F1 only,24,No,1,Moran et al. 2023,No
2007,2007,-1,135,0.081,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2008,2008,-1,200,0.065,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2011,2011,-1,170,0.088,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2012,2012,-1,230,0.074,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2013,2013,-1,178,0.084,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2014,2014,-1,264,0.083,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2015,2015,-1,160,0.256,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2017,2017,-1,104,0.202,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2018,2018,-1,103,0.282,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
2019,2019,-1,108,0.259,NGOA,Rel,Yes,3,F2 only,24,No,1,Moran et al. 2023,No
