Year1,Year2,UseVarCo,VarCo,Estimate,CV,Area,abs/rel,Use,Add CV,Hypothesis,Class,Exclude,Component,Reference,Reviewed by ASI?,Notes
2008,2008,No,2,436,0.45,EAL+BER,Rel,Yes,No,F1 only,6,No,0,Friday et al. 2012,Survey on Bering sea shelf only,
2010,2010,No,2,675,0.8,EAL+BER,Rel,Yes,No,F1 only,6,No,0,Friday et al. 2012,Survey on Bering sea shelf only,
2002,2002,No,2,231,0.63,EAL+BER+WGOA,Rel,Yes,No,F2 only,6,No,0,Friday et al. 2012,Survey on Bering sea shelf only,
2008,2008,No,2,436,0.45,EAL+BER+WGOA,Rel,Yes,No,F2 only,6,No,0,Friday et al. 2012,Survey on Bering sea shelf only,
2010,2010,No,2,675,0.8,EAL+BER+WGOA,Rel,Yes,No,F2 only,6,No,0,Friday et al. 2012,Survey on Bering sea shelf only,
2007,2007,No,2,135,0.081,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2008,2008,No,2,200,0.065,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2011,2011,No,2,170,0.088,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2012,2012,No,2,230,0.074,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2013,2013,No,2,178,0.084,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2014,2014,No,2,264,0.083,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2015,2015,No,2,160,0.256,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2017,2017,No,2,104,0.202,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2018,2018,No,2,103,0.282,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2019,2019,No,2,108,0.259,GOA,Rel,Yes,3,F1 only,7,No,1,Moran et al. 2023,,
2007,2007,No,2,135,0.081,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2008,2008,No,2,200,0.065,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2011,2011,No,2,170,0.088,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2012,2012,No,2,230,0.074,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2013,2013,No,2,178,0.084,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2014,2014,No,2,264,0.083,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2015,2015,No,2,160,0.256,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2017,2017,No,2,104,0.202,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2018,2018,No,2,103,0.282,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
2019,2019,No,2,108,0.259,NGOA,Rel,Yes,3,F2 only,7,No,1,Moran et al. 2023,,
