Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B2F1,EAL+BER,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,GOA,Asia,Mark-Recapture,FeedingtoBreeding,0.0034336,0.754455965,,,
B2F1,GOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.938408,0.013147799,,,
B2F1,GOA,MX_AR,Mark-Recapture,FeedingtoBreeding,0.0287398,0.283178728,,,
B2F1,GOA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.029311,0.299996588,,,
B2F1,GOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,SEA+NBC,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,SEA+NBC,Hawaii,Mark-Recapture,FeedingtoBreeding,0.9835,0.004587697,,,
B2F1,SEA+NBC,MX_AR,Mark-Recapture,FeedingtoBreeding,0.0121806,0.321396319,,,
B2F1,SEA+NBC,MX_ML,Mark-Recapture,FeedingtoBreeding,0.0043223,0.509312172,,,
B2F1,SEA+NBC,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,SBC+WA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,SBC+WA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.7796,0.117970754,,,
B2F1,SBC+WA,MX_AR,Mark-Recapture,FeedingtoBreeding,0.0046168,1.516136718,,,
B2F1,SBC+WA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.136592,0.350073943,,,
B2F1,SBC+WA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.0788126,0.99909786,,,
B2F1,OR+CA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,OR+CA,Hawaii,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,OR+CA,MX_AR,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F1,OR+CA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.28748,0.23125087,,,
B2F1,OR+CA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.712749,0.09300006,,,
B2F1,RUS+WAL,Asia,Mark-Recapture,BreedingtoFeeding,0.962,0.038,,,
B2F1,EAL+BER,Asia,Mark-Recapture,BreedingtoFeeding,0.038,0.976,,,
B2F1,GOA,Asia,Mark-Recapture,BreedingtoFeeding,0.001,3.828,,,
B2F1,SEA+NBC,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,SBC+WA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,OR+CA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,RUS+WAL,Hawaii,Mark-Recapture,BreedingtoFeeding,0.006,0.69,,,
B2F1,EAL+BER,Hawaii,Mark-Recapture,BreedingtoFeeding,0.087,0.262,,,
B2F1,GOA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.068,0.19,,,
B2F1,SEA+NBC,Hawaii,Mark-Recapture,BreedingtoFeeding,0.829,0.032,,,
B2F1,SBC+WA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.01,0.381,,,
B2F1,OR+CA,Hawaii,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,RUS+WAL,MX_AR,Mark-Recapture,BreedingtoFeeding,0.01,1.37,,,
B2F1,EAL+BER,MX_AR,Mark-Recapture,BreedingtoFeeding,0.771,0.064,,,
B2F1,GOA,MX_AR,Mark-Recapture,BreedingtoFeeding,0.119,0.263,,,
B2F1,SEA+NBC,MX_AR,Mark-Recapture,BreedingtoFeeding,0.088,0.386,,,
B2F1,SBC+WA,MX_AR,Mark-Recapture,BreedingtoFeeding,0.012,0.843,,,
B2F1,OR+CA,MX_AR,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,RUS+WAL,MX_ML,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,EAL+BER,MX_ML,Mark-Recapture,BreedingtoFeeding,0.317,0.269,,,
B2F1,GOA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.025,0.456,,,
B2F1,SEA+NBC,MX_ML,Mark-Recapture,BreedingtoFeeding,0.031,0.651,,,
B2F1,SBC+WA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.046,0.508,,,
B2F1,OR+CA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.582,0.156,,,
B2F1,RUS+WAL,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,EAL+BER,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,GOA,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,SEA+NBC,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F1,SBC+WA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.03,0.676,,,
B2F1,OR+CA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.971,0.021,,,
B2F2,RUS+WAL,Asia,Mark-Recapture,FeedingtoBreeding,0.91,0.04,,,
B2F2,RUS+WAL,Hawaii,Mark-Recapture,FeedingtoBreeding,0.087,0.413,,,
B2F2,RUS+WAL,MX_AR,Mark-Recapture,FeedingtoBreeding,0.003,2.344,,,
B2F2,RUS+WAL,MX_ML,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,RUS+WAL,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,EAL+BER+WGOA,Asia,Mark-Recapture,FeedingtoBreeding,0.017,0.423,,,
B2F2,EAL+BER+WGOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.929,0.017,,,
B2F2,EAL+BER+WGOA,MX_AR,Mark-Recapture,FeedingtoBreeding,0.021,0.37,,,
B2F2,EAL+BER+WGOA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.032,0.339,,,
B2F2,EAL+BER+WGOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,NGOA,Asia,Mark-Recapture,FeedingtoBreeding,0.002,1.005,,,
B2F2,NGOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.941,0.014,,,
B2F2,NGOA,MX_AR,Mark-Recapture,FeedingtoBreeding,0.03,0.311,,,
B2F2,NGOA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.027,0.34,,,
B2F2,NGOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,SEA+NBC,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,SEA+NBC,Hawaii,Mark-Recapture,FeedingtoBreeding,0.984,0.005,,,
B2F2,SEA+NBC,MX_AR,Mark-Recapture,FeedingtoBreeding,0.012,0.325,,,
B2F2,SEA+NBC,MX_ML,Mark-Recapture,FeedingtoBreeding,0.004,0.515,,,
B2F2,SEA+NBC,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,SBC+WA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,SBC+WA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.778,0.125,,,
B2F2,SBC+WA,MX_AR,Mark-Recapture,FeedingtoBreeding,0.003,1.848,,,
B2F2,SBC+WA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.129,0.364,,,
B2F2,SBC+WA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.089,0.981,,,
B2F2,OR+CA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,OR+CA,Hawaii,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,OR+CA,MX_AR,Mark-Recapture,FeedingtoBreeding,0,0,,,
B2F2,OR+CA,MX_ML,Mark-Recapture,FeedingtoBreeding,0.274,0.261,,,
B2F2,OR+CA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.726,0.098,,,
B2F2,RUS+WAL,Asia,Mark-Recapture,BreedingtoFeeding,0.975,0.022,,,
B2F2,EAL+BER+WGOA,Asia,Mark-Recapture,BreedingtoFeeding,0.025,0.886,,,
B2F2,NGOA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,SEA+NBC,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,SBC+WA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,OR+CA,Asia,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,RUS+WAL,Hawaii,Mark-Recapture,BreedingtoFeeding,0.006,0.682,,,
B2F2,EAL+BER+WGOA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.119,0.193,,,
B2F2,NGOA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.058,0.208,,,
B2F2,SEA+NBC,Hawaii,Mark-Recapture,BreedingtoFeeding,0.805,0.033,,,
B2F2,SBC+WA,Hawaii,Mark-Recapture,BreedingtoFeeding,0.011,0.395,,,
B2F2,OR+CA,Hawaii,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,RUS+WAL,MX_AR,Mark-Recapture,BreedingtoFeeding,0.01,1.433,,,
B2F2,EAL+BER+WGOA,MX_AR,Mark-Recapture,BreedingtoFeeding,0.783,0.066,,,
B2F2,NGOA,MX_AR,Mark-Recapture,BreedingtoFeeding,0.098,0.31,,,
B2F2,SEA+NBC,MX_AR,Mark-Recapture,BreedingtoFeeding,0.093,0.387,,,
B2F2,SBC+WA,MX_AR,Mark-Recapture,BreedingtoFeeding,0.015,0.954,,,
B2F2,OR+CA,MX_AR,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,RUS+WAL,MX_ML,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,EAL+BER+WGOA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.219,0.348,,,
B2F2,NGOA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.026,0.497,,,
B2F2,SEA+NBC,MX_ML,Mark-Recapture,BreedingtoFeeding,0.032,0.636,,,
B2F2,SBC+WA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.055,0.582,,,
B2F2,OR+CA,MX_ML,Mark-Recapture,BreedingtoFeeding,0.667,0.13,,,
B2F2,RUS+WAL,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,EAL+BER+WGOA,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,NGOA,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,SEA+NBC,Central_Am,Mark-Recapture,BreedingtoFeeding,0,0,,,
B2F2,SBC+WA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.031,0.655,,,
B2F2,OR+CA,Central_Am,Mark-Recapture,BreedingtoFeeding,0.969,0.021,,,
B1F1,RUS+WAL,Asia,Mark-Recapture,FeedingtoBreeding,0.911,0.011,,,
B1F1,RUS+WAL,Hawaii,Mark-Recapture,FeedingtoBreeding,0.086,0.42,,,
B1F1,RUS+WAL,Mexico,Mark-Recapture,FeedingtoBreeding,0.003,3.054,,,
B1F1,RUS+WAL,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,EAL+BER,Asia,Mark-Recapture,FeedingtoBreeding,0.022,0.453,,,
B1F1,EAL+BER,Hawaii,Mark-Recapture,FeedingtoBreeding,0.904,0.025,,,
B1F1,EAL+BER,Mexico,Mark-Recapture,FeedingtoBreeding,0.074,0.278,,,
B1F1,EAL+BER,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,GOA,Asia,Mark-Recapture,FeedingtoBreeding,0.003,0.758,,,
B1F1,GOA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.889,0.021,,,
B1F1,GOA,Mexico,Mark-Recapture,FeedingtoBreeding,0.108,0.177,,,
B1F1,GOA,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,SEA+NBC,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,SEA+NBC,Hawaii,Mark-Recapture,FeedingtoBreeding,0.975,0.003,,,
B1F1,SEA+NBC,Mexico,Mark-Recapture,FeedingtoBreeding,0.025,0.258,,,
B1F1,SEA+NBC,Central_Am,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,SBC+WA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,SBC+WA,Hawaii,Mark-Recapture,FeedingtoBreeding,0.695,0.122,,,
B1F1,SBC+WA,Mexico,Mark-Recapture,FeedingtoBreeding,0.255,0.275,,,
B1F1,SBC+WA,Central_Am,Mark-Recapture,FeedingtoBreeding,0.05,1.005,,,
B1F1,OR+CA,Asia,Mark-Recapture,FeedingtoBreeding,0,0,,,
B1F1,OR+CA,Hawaii,Mark-Recapture,FeedingtoBreeding,0,0,,,
