"Year1","Year2","Estimate","CV","Area","Rel","Use","Add.cv","Hypothesis","Class","SensUse","Component","Reference"
"2002",2002,16875,0.352888889,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2003",2003,19065,0.156359822,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2004",2004,19340,0.156514995,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2005",2005,21063,0.040022789,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2006",2006,21095,0.126096231,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2007",2007,24915,0.123660446,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2008",2008,26456,0.11248866,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2009",2009,26455,0.165148365,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2010",2010,23007,0.18811666,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2011",2011,29636,0.164833311,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2012",2012,33488,0.133032728,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2013",2013,31701,0.195356613,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2014",2014,31243,0.154754665,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2015",2015,33260,0.156313891,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2016",2016,29852,0.110210371,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2017",2017,28429,0.222273031,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2018",2018,26731,0.125023381,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2019",2019,25671,0.172451404,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2020",2020,28706,0.164181704,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"2021",2021,26662,0.157227515,"Total","Abs","Yes","0","All",1,"No",1,"Cheeseman et al 2024"
"1990",1993,400,0.12,"Asia","Abs","Yes","0","All",1,"No",1,"Calambokidis et al. 1997"
"2004",2006,1112,0.09,"Asia","Abs","Yes","0","B2F2",1,"S1",1,"Wade et al. SC/68d/IA03"
"1980",1983,1407,0.1,"Hawaii","Abs","Yes","0","All",1,"No",1,"Baker and Herman 1987"
"1991",1993,4629,0.13,"Hawaii","Abs","Yes","0","All",1,"No",1,"Calambokidis and Barlow 2017 A17/NP10"
"2004",2006,12021,0.04,"Hawaii","Abs","Yes","0","B2F2",1,"S1",1,"Wade et al. SC/68d/IA03"
"1987",1990,571,0.114703144,"MX_AR","Abs","Yes","0","B2 only",1,"No",1,"Martinez et al 2017"
"2003",2006,2352,0.078550832,"MX_AR","Abs","Yes","0","B2 only",1,"No",1,"Martinez et al 2017"
"1987",1990,1642,0.204507527,"MX_ML","Abs","Yes","0","B2 only",1,"No",1,"Martinez et al 2017"
"2003",2006,4149,0.093428714,"MX_ML","Abs","Yes","0","B2 only",1,"No",1,"Martinez et al 2017"
"2004",2006,1356,0.2,"Central_Am","Abs","Yes","0","B2F2",1,"S1",1,"Wade et al. SC/68d/IA03"
"2019",2021,1496,0.171,"Central_Am","Abs","Yes","0","All",1,"No",1,"Curtis et al. 2022"
"2004",2006,1408,0.23,"RUS+WAL","Abs","Yes","0","B2F2",1,"No",1,"Wade et al. SC/68d/IA03"
"2004",2006,5241,0.13,"EAL+BER+WGOA","Abs","Yes","0","B2F2",1,"No",1,"Wade et al. SC/68d/IA03"
"1987",1987,616,0.367955058,"NGOA","Abs","Yes","0","F2 only",1,"No",1,"zerbini et al 2006 paul"
"2001",2001,1701,0.41211433,"NGOA","Abs","Yes","0","F2 only",1,"No",1,"zerbini et al 2006 paul"
"2002",2002,1544,0.265186145,"NGOA","Abs","Yes","0","F2 only",1,"No",1,"zerbini et al 2006 paul"
"2003",2003,1931,0.119564544,"NGOA","Abs","Yes","0","F2 only",1,"No",1,"zerbini et al 2006 paul"
"2004",2006,1650,0.1,"NGOA","Abs","Yes","0","B2F2",1,"No",1,"Wade et al. SC/68d/IA03"
"2004",2006,6038,0.07,"SEA+NBC","Abs","Yes","0","B2F2",1,"No",1,"Wade et al. SC/68d/IA03"
"1997",1997,131,0.184045802,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"1998",1998,181,0.165966851,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"1999",1999,243,0.1718107,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2000",2000,255,0.168627451,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2001",2001,305,0.166590164,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2002",2002,362,0.179668508,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2003",2003,439,0.2238041,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2004",2004,608,0.187878289,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2005",2005,810,0.138469136,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2006",2006,671,0.112503726,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2007",2007,1040,0.101269231,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2008",2008,1239,0.101977401,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2009",2009,1245,0.103518072,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2010",2010,1186,0.097681282,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2011",2011,1279,0.114652072,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2012",2012,1560,0.111717949,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2013",2013,1887,0.124843667,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2014",2014,1556,0.125475578,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2015",2015,1586,0.123032787,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2016",2016,1416,0.110225989,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2017",2017,1369,0.080277575,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2018",2018,1671,0.059269898,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis and Barlow 2020"
"2019",2019,1797,0.04588759,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis unpub"
"2020",2020,1924,0.043778586,"SBC+WA","Abs","Yes","1","All",1,"No",1,"Calambokidis unpub"
